age,education_level,career_field,main_sector,employer_type,contract_type,weekly_hours,residence,province,monthly_income_rwf
25,Lower secondary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,40.0,Urban,Western Province,78000.0
20,Primary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,24.0,Urban,Western Province,39000.0
28,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,8.0,Urban,Western Province,39000.0
28,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,36.0,Rural,Western Province,15000.0
24,Primary education,Skilled trades and operators,Services,Private business or VUP,Oral agreement,60.0,Rural,Western Province,78000.0
22,Lower secondary education,Skilled trades and operators,Industry,Private business or VUP,Oral agreement,63.0,Rural,Western Province,104000.0
20,Primary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,63.0,Rural,Western Province,65000.0
16,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,49.0,Rural,Western Province,15000.0
24,Lower secondary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,1.0,Urban,Western Province,52000.0
19,Primary education,Elementary and other work,Services,Household,Oral agreement,60.0,Urban,Western Province,15000.0
16,Primary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,4.0,Rural,Western Province,39000.0
22,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,16.0,Rural,Western Province,26000.0
19,Lower secondary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,8.0,Rural,Western Province,39000.0
17,Lower secondary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,21.0,Rural,Western Province,31200.0
17,Primary education,Skilled trades and operators,Industry,Private business or VUP,Oral agreement,24.0,Rural,Western Province,43333.332
27,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,6.0,Rural,Northern Province,26000.0
29,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,12.0,Rural,Northern Province,31200.0
18,Primary education,Elementary and other work,Services,Household,Oral agreement,40.0,Rural,Northern Province,15000.0
24,Lower secondary education,Skilled trades and operators,Industry,Private business or VUP,Oral agreement,40.0,Rural,Northern Province,312000.0
25,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,15.0,Rural,Northern Province,26000.0
27,Primary education,Elementary and other work,Services,Household,Oral agreement,35.0,Rural,Northern Province,15000.0
18,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,21.0,Rural,Northern Province,26000.0
30,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,18.0,Rural,Northern Province,26000.0
25,Lower secondary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,30.0,Rural,Northern Province,26000.0
23,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,2.0,Rural,Northern Province,31200.0
22,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,36.0,Rural,Northern Province,26000.0
17,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,36.0,Rural,Northern Province,31200.0
22,Lower secondary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,20.0,Rural,Northern Province,31200.0
23,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,20.0,Rural,Northern Province,26000.0
26,Upper secondary education,Sales and services,Services,Private business or VUP,Oral agreement,60.0,Urban,Northern Province,60000.0
22,Upper secondary education,Sales and services,Services,Private business or VUP,Oral agreement,48.0,Urban,Northern Province,54166.668
29,Lower secondary education,Skilled trades and operators,Services,Private business or VUP,Oral agreement,52.0,Rural,Northern Province,130000.0
24,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,10.0,Rural,Northern Province,39000.0
22,Primary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,27.0,Urban,Northern Province,78000.0
20,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,48.0,Rural,Northern Province,39000.0
24,Primary education,Skilled trades and operators,Industry,Private business or VUP,Oral agreement,54.0,Rural,Northern Province,130000.0
22,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,28.0,Urban,Northern Province,31200.0
29,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,27.0,Rural,Northern Province,39000.0
29,Upper secondary education,Skilled trades and operators,Industry,Private business or VUP,Oral agreement,54.0,Rural,Northern Province,20000.0
16,Primary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,40.0,Rural,Northern Province,65000.0
23,Primary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,54.0,Rural,Northern Province,78000.0
23,Lower secondary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,24.0,Rural,Northern Province,31200.0
22,Lower secondary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,23.0,Rural,Northern Province,39000.0
17,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,18.0,Rural,Northern Province,31200.0
24,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,24.0,Rural,Northern Province,52000.0
27,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,24.0,Rural,Northern Province,52000.0
