graduation_year,education_level,course_group,first_job_level,first_job_sector,qualification_requirement,first_job_via_nysc,employer_valued_factor,course_preparation_score,employability_skill_count,problem_solving_skill,communication_skill,first_monthly_income_ngn
2016,Higher National Diploma (HND),Engineering and built environment,Experienced/professional,"Engineering, construction and energy",Not required,No,Subject studied,3,6,True,True,35000.0
2017,Bachelor's degree,Technology and computing,Entry level,Technology and telecommunications,Formal requirement,No,Internship or practical experience,1,1,True,False,75000.0
2013,Bachelor's degree,Technology and computing,Entry level,"Media, marketing and creative",Formal requirement,No,Academic credential,3,1,False,False,35000.0
2013,Bachelor's degree,Technology and computing,Experienced/professional,Education,Gave an advantage,No,Academic credential,3,5,True,True,35000.0
2015,Bachelor's degree,Health and life sciences,Entry level,Education,Formal requirement,No,Subject studied,2,5,False,True,35000.0
2016,Bachelor's degree,Other,Entry level,Education,Formal requirement,Yes,Academic credential,3,3,True,True,35000.0
2014,Bachelor's degree,Business and economics,Entry level,Education,Formal requirement,Yes,Academic credential,4,6,True,True,10000.0
2014,Bachelor's degree,Business and economics,Entry level,Other,Formal requirement,No,No single factor,2,0,False,False,35000.0
2016,Bachelor's degree,Social sciences,Clerical and administrative,Other,Not required,No,Academic credential,1,1,False,True,35000.0
2016,Bachelor's degree,Social sciences,Clerical and administrative,Other,Not required,No,Academic credential,1,1,False,True,35000.0
2015,Bachelor's degree,Technology and computing,Clerical and administrative,"Engineering, construction and energy",Gave an advantage,Yes,Academic credential,3,1,True,False,75000.0
2016,Higher National Diploma (HND),Engineering and built environment,Entry level,"Engineering, construction and energy",Formal requirement,No,Internship or practical experience,4,3,True,False,75000.0
2014,Bachelor's degree,Other,Entry level,Education,Not required,No,Skills and prior experience,3,1,False,True,35000.0
2015,Bachelor's degree,Health and life sciences,Entry level,Public and nonprofit,Gave an advantage,No,Internship or practical experience,1,2,True,False,35000.0
2015,Bachelor's degree,Health and life sciences,Entry level,"Media, marketing and creative",Not required,No,Internship or practical experience,3,1,False,False,35000.0
2014,Bachelor's degree,Business and economics,Entry level,Education,Formal requirement,No,Unknown,1,1,False,False,10000.0
2014,Bachelor's degree,Social sciences,Entry level,Finance and consulting,Formal requirement,No,Internship or practical experience,3,6,True,True,35000.0
2015,Bachelor's degree,Business and economics,Entry level,Finance and consulting,Formal requirement,Yes,Internship or practical experience,4,6,True,True,35000.0
2016,Bachelor's degree,Technology and computing,Experienced/professional,Technology and telecommunications,Not required,No,No single factor,4,6,True,True,125000.0
2014,Bachelor's degree,"Arts, communication and humanities",Managerial,Other,Formal requirement,No,Subject studied,3,6,True,True,35000.0
2017,Bachelor's degree,Technology and computing,Entry level,Technology and telecommunications,Not required,No,Internship or practical experience,1,3,False,True,35000.0
2016,Higher National Diploma (HND),Technology and computing,Clerical and administrative,Technology and telecommunications,Formal requirement,Yes,Internship or practical experience,3,6,True,True,125000.0
2014,Bachelor's degree,Technology and computing,Entry level,Education,Gave an advantage,No,No single factor,1,4,True,True,10000.0
2015,Bachelor's degree,Social sciences,Entry level,Technology and telecommunications,Gave an advantage,No,Academic credential,1,3,False,True,75000.0
2015,Bachelor's degree,Engineering and built environment,Entry level,"Engineering, construction and energy",Gave an advantage,No,No single factor,2,3,False,True,35000.0
2015,Bachelor's degree,Social sciences,Entry level,Other,Formal requirement,No,Unknown,3,6,True,True,35000.0
2017,Bachelor's degree,Social sciences,Entry level,Trade and services,Gave an advantage,No,Internship or practical experience,2,1,True,False,35000.0
2014,Bachelor's degree,Health and life sciences,Entry level,Education,Unknown,Yes,Other,2,4,False,True,10000.0
2015,Bachelor's degree,Technology and computing,Entry level,Finance and consulting,Formal requirement,No,No single factor,3,4,False,True,35000.0
2016,Higher National Diploma (HND),Business and economics,Clerical and administrative,"Engineering, construction and energy",Formal requirement,No,Internship or practical experience,4,1,False,False,75000.0
2013,Bachelor's degree,Health and life sciences,Entry level,Other,Not required,No,Unknown,2,1,False,False,10000.0
2015,Bachelor's degree,"Arts, communication and humanities",Entry level,Technology and telecommunications,Not required,No,Skills and prior experience,2,5,False,True,75000.0
2015,Bachelor's degree,Engineering and built environment,Entry level,Other,Formal requirement,Yes,Academic credential,3,5,True,True,75000.0
2016,Bachelor's degree,Business and economics,Entry level,Education,Not required,Yes,Subject studied,3,5,True,True,10000.0
2016,Bachelor's degree,Engineering and built environment,Clerical and administrative,Education,Formal requirement,No,Academic credential,3,1,True,False,75000.0
